ID,PosNumeric,Position,WingatePeak_Watts,PeakWingate_W_kg,WingateMean_Watts,WingateMean_Watts_kg,WingateRPM,WingateHR_End,WingateHR_1minPost,WingatePercentDrop,VO2max_l_min,VO2max_ml_kg_min,VO2max_PeakHR,VO2max_Duration,VO2max_watts,DaysSinceLastGame,DaysSinceLastWorkout,Age,Height_in,WingSpan_in,Weight_lb, Skinfold_sum_6_mm,Yuhasz%BodyFat,HandEyeCoordination,StandingLongJump_in,VertekVerticalJump_Pause_in,LewisAvg_ Pause_watts,SayersPeak_Pause_watts,VertekVerticalJump_NoPause_in,LewisAvg_ NoPause_watts,SayersPeak_NoPause_watts,Jump4ModeGroundTime_sec,Jump4ModeGroundPowerFactor,Jump4ModeGroundHeight_in,Curlups_max,SitReach,RightHandGrip_lb,LeftHandGrip_lb,BenchPress_reps150,BenchPress_lbperlbBodyWeight,PushUps_max,PushUpsxBody Weight,Push Strength (lb),PushStrength_lbperlbBodyWeight,PullStrength_lb,PullStrength_lbperlbBodyWeight,UpperBodyPowerkgBall_in
67,2,Defense,1151,13.36240403,857,9.95,116,193,181,56.7,4.32,50,193,9:00,400,60,2,17,76.5,79.24,189.9,53.8,8.86,26.4,100,23.3,1435,5436,23.8,1449,5496,0.76,0.8,17.8,15,27.1,126,100,3,2.37,17,3228.3,204,1.07,224,1.18,191
68,2,Defense,1261,14.43,972,11.12,130,199,186,47.8,4.92,56.2,199,13:00,600,28,3,17,76.5,76.75,192.7,46,8.1,29.6,109,27.8,1592,6199,28.5,1612,6308,0.31,2.04,20.3,27,49.8,128,145,11,8.56,23,4432.1,148,0.77,264,1.37,229
69,2,Defense,989,13.02,747,9.84,116,193,172,53.3,3.96,52,194,10:40,480,42,1,18,68,69,167.4,85.6,11.94,27.7,83.5,20,1173,4476,21,1201,4628,0.76,0.78,17.3,12,37.5,99,100,5,4.48,24,4017.6,186,1.11,208,1.24,190
70,2,Defense,1223,13.25,1000,10.83,124,200,186,43.8,6.28,67.9,197,10:00,600,42,1,17,74.5,77,203.5,42.2,7.73,38.1,114,23.5,1545,5759,25.5,1611,6068,0.7,0.95,21.6,23,44.6,133,130,8,5.9,34,6919,233,1.14,245,1.2,206
71,2,Defense,1217,13.58,874,9.75,115,186,171,56.7,5.3,59,192,12:30,600,90,4,18,74.5,77,197.6,44.8,7.99,23.7,104.5,24.5,1531,5789,26,1579,6019,0.52,1.27,21,24,30,138,115,12,9.11,25,4940,263,1.33,268,1.36,199
72,2,Defense,1161,13.01,867,9.72,115,170,150,54.2,5.62,62.84,177,14:00,640,56,1,18,74.5,78,196.7,49.6,8.45,32.9,98,21,1411,5230,22.5,1463,5467,0.55,1.12,18.6,18,38.9,118,125,4,3.05,12,2360.4,143,0.73,249,1.27,192
73,2,Defense,1384,15.0602052,947,10.30492365,118,205,189,57.7,5.05,54.81,205,12:00,560,50,2,18,75.5,76.5,202.6,65,9.95,36.6,114.5,23.5,1539,5741,26.5,5657,1634,0.76,0.91,23.2,34,41.5,144,131,8,5.92,27,5470.2,257.4,1.27,303.8,1.5,247
74,2,Defense,815,9.03,496,5.5,104,192,165,52.3,4.65,51.6,192,11:00,520,14,6,18,72.25,73.5,198.9,76.6,11.07,33.8,114,29.3,1865,6532,30.3,1716,6714,0.49,1.47,25,0,35.4,177,143,8,6.03,22,4375.8,294,1.48,241,1.21,224
75,2,Defense,1176,13.64,917,10.63,125,183,169,39.5,4.68,54.2,199,11:00,520,49,2,18,75,78,190.1,40.2,7.54,28.3,115.5,26.5,1533,5944,28.5,1591,6254,0.93,0.74,22.8,48,52,140,123,4,3.16,22,4182.2,276,1.45,205,1.08,217
76,2,Defense,1092,14.19,812,10.56,125,163,178,44.2,3.98,51.7,189,10:00,480,30,5,18,70.75,69.75,169.6,49.2,8.41,24.2,107,25.5,1263,5371,27,1299,5601,0.65,1.01,21.2,3,36.1,118,112,2,1.77,18,3052.8,194,1.14,245,1.44,188
